TAZ,Central,NE,NW,SE,SW
5012,0.0023321,0.001310809,0.000772764,0.001811548,0.000410575
5014,0.000723646,8.06112E-05,0.000250332,0.000586839,0.000133003
5016,0.000480324,5.25726E-05,0.00016326,0.000382721,8.67413E-05
5018,0.001301931,0.000143698,0.000446244,0.001046105,0.000237093
5027,0.000107441,0,0.003657023,0,0
5028,0.001004889,0.006389317,0,0,0.007824066
5029,0.011303416,0.021228796,0.0032652,0.007654428,0.001734826
5030,0.000116921,0.001286275,0,0,0
4265,0.001466252,0.001104024,0.000402708,0.000944046,0.003793486
4474,0.002973585,0.003757185,0.004179455,0.002066696,0.000468403
4475,0.004332397,0.001184635,0.00146934,0.003444493,0.000780672
4476,0.000587765,0.002435861,0.012690742,0,0
4477,0.000660446,0.00085518,0.008663663,0.000280662,6.36103E-05
4809,0.00470528,0.012421141,0.004821611,0.007552369,0.002122271
4810,0.000208562,0.000511706,0,0,0.002978118
4811,0.001921296,0.008713024,0.000370056,0.000867502,0.001815785
4812,1.35E-02,0.008667461,0.013430854,0.010154875,0.002301536
5019,0.011050614,0.002993131,0.010241842,0.008445386,0.006291636
5021,0.003908953,0.0004346,0.001349616,0.00316383,0.000717061
5022,1.14E-04,0.001275761,0,0,0
5023,0.001649534,0.002299173,0.000500664,0.001173679,0.000266007
5024,0.007767346,0.009154633,0.011319358,0.005102952,0.008847613
5025,0.002742903,0.002873966,0.000859836,0.002015666,0.000456838
5026,0.020189412,0.007973503,0.01380091,0.019161585,0.007633235
5032,0.02461661,0.027172999,0.007694987,0.018038936,0.004892209
5033,0.006696097,0.007994532,0.002078844,0.004873319,0.001104506
5035,0.001333531,0.000147203,0.000457128,0.00107162,0.000242876
5036,0.001532613,0.000928782,0.000500664,0.001173679,0.000266007
5037,7.58E-04,8.41161E-05,0.000261216,0.000612354,0.000138786
5039,0.004863281,0.021274359,0.010448638,0.002168755,0.000491534
5040,0.001946577,0.002428852,0.000565968,0.001326768,0.002272622
5041,0.000489804,0.000785083,0.000141492,0.000331692,7.51758E-05
5042,0.014021039,0.004885742,0.012854002,0.010001786,0.021864591
5043,0.000233842,0.00E+00,0,0,0.004273455
5044,0.026127103,0.004938315,0.011156098,0.025540275,0.042266145
5045,0.015721134,1.70E-03,0.005267855,0.023448065,0.008090072
5047,0.002218339,0.00236226,0.000696576,0.001632945,0.000370096
5049,0.001112329,0.000105145,0.002318292,0.000765443,0.001925657
5050,0.005662768,0.006568064,0.001763208,0.004133391,0.000936806
5051,0.01530085,0.022749895,0.004495091,0.025489246,0.004828599
5052,0.000467684,0.003343614,0.002742768,0,0.001590257
5053,7.90007E-05,0.000876209,0,0,0
5054,7.90007E-05,0,0,0,0.001468819
5055,0.003393869,0.000360998,0.003461111,0.00262802,0.00182735
5057,6.00405E-05,0.000676433,0,0,0
5058,0.003340148,0.000350484,0.0010884,0.002551476,0.003637352
5059,0.002559622,0.015561475,0.003972659,0.000867502,0.000196614
5060,0.002025577,0.002604094,0.00059862,0.001403312,0.001665433
5061,0.048601214,0.052716248,0.019885065,0.033092644,0.064581791
5062,0.000176962,0.001948689,0,0,0
5063,0.000237002,0.001436983,0.003722327,0,0
5065,0.000666766,7.36016E-05,0.000228564,0.00053581,0.000121438
5066,0.006155732,0.006904528,0.001763208,0.016737683,0.006898825
5067,0.00581761,0.002078368,0.00195912,0.004592657,0.001040896
5068,0.044499499,0.00493481,0.01532467,0.035924782,0.008142117
5069,4.42404E-05,0.000497687,0,0,0
5070,0.015351411,0.003322585,0.014149198,0.011762304,0.009483716
5071,0.019724888,0.005548156,0.006650123,0.015589519,0.005690229
5072,0.001804375,0.002306183,0.000413592,0.034291838,0.000219745
5073,0.009849804,0.025010515,0.007477307,0.005919424,0.005146651
5074,0.003700392,0.001689331,0.00114282,0.00267905,0.005430006
5075,0.002802944,0.005029441,0.000750996,0.001760518,0.003914924
5076,0.064028466,0.076268751,0.045876053,0.084071135,0.091593033
5077,0.024006725,1.66E-02,0.01282135,0.016788712,0.035899334
5079,0.001463092,0.005565681,0,0,0.017568005
5080,0.001696934,0.000147203,0.012886654,0.00107162,0.000242876
5081,0.007761026,0.005656806,0.002416248,0.005664277,0.00707809
5082,8.21607E-05,0.000911258,0,0,0
5083,4.63E-03,0.006610122,0.006497747,0.003036256,0.003683614
5084,0.00353607,0.008916305,0.00076188,0.001786033,0.01060557
5085,0.000546685,0.002204542,0,0.028066236,0
5086,0.017519189,0.007882378,0.019743573,0.011507157,0.043943144
5087,0.001817015,0.000203281,0.000631272,0.001479856,0.0003354
5089,0.019645887,0.017177205,0.008315375,0.014033118,0.018094236
5090,0.000271762,0.001107528,0,0,0.003157383
5092,0.000120081,0,0,0,0.002185881
5093,0.00346655,0.002057339,0.0010884,0.002551476,0.003394476
5094,0.001516813,0.002814384,0.000402708,0.000944046,0.002156967
5095,0.000303363,0.001822515,0,0,0.002521281
5096,0.016842944,0.017037011,0.033718627,0.015410915,0.00758119
5098,0.009097718,0.008720034,0.002742768,0.00642972,0.00957624
5099,0.000448724,0.004959344,0,0,0
5100,0.000521404,0.00321043,0.007967087,0,0
5101,1.67E-03,0.000602832,0.00288426,0.000893017,0.008627868
5102,0.008930236,0.015067293,0.002492436,0.00584288,0.008911223
